cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Male,W,20,0.433839
Ascending Thin Limb,kidney_l3,CL_1001107,Male,W,605,13.123644
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Male,W,467,10.130152
Connecting Tubule,kidney_l3,CL_1000768,Male,W,1,0.021692
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Male,W,5,0.108460
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Male,W,1,0.021692
Cortical Thick Ascending Limb,kidney_l3,,Male,W,2,0.043384
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Male,W,3,0.065076
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Male,W,10,0.216920
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Male,W,36,0.780911
Descending Thin Limb Type 3,kidney_l3,CL_1001111,Male,W,477,10.347072
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Male,W,277,6.008677
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Male,W,1,0.021692
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Male,W,797,17.288503
Medullary Fibroblast,kidney_l3,CL_0000057,Male,W,1507,32.689805
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Male,W,8,0.173536
Monocyte,kidney_l3,,Male,W,7,0.151844
Monocyte-derived,kidney_l3,CL_0000576,Male,W,63,1.366594
Natural Killer / Natural Killer T,kidney_l3,,Male,W,4,0.086768
Neutrophil,kidney_l3,CL_0000775,Male,W,3,0.065076
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Male,W,22,0.477223
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Male,W,14,0.303688
Papillary Tip Epithelial,kidney_l3,CL_1000597,Male,W,59,1.279826
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Male,W,4,0.086768
Podocyte,kidney_l3,CL_0000653,Male,W,4,0.086768
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Male,W,1,0.021692
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,Male,W,1,0.021692
T,kidney_l3,CL_000084,Male,W,23,0.498915
Tissue-resident Macrophage,kidney_l3,,Male,W,87,1.887202
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Male,W,101,2.190889
