,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",173,10.260972,young / non,f,non,33,1025.466,General Electric RTI_Liz McDonough_undefined
1,T-Killer,47,2.787663,young / non,f,non,33,,General Electric RTI_Liz McDonough_undefined
2,T-reg,157,9.311981,young / non,f,non,33,,General Electric RTI_Liz McDonough_undefined
3,T-helper,1309,77.639383,young / non,f,non,33,,General Electric RTI_Liz McDonough_undefined
