,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",142,9.653297,old / non,m,non,69,1048.553,General Electric RTI_Liz McDonough_undefined
1,T-Killer,28,1.903467,old / non,m,non,69,,General Electric RTI_Liz McDonough_undefined
2,T-reg,106,7.205982,old / non,m,non,69,,General Electric RTI_Liz McDonough_undefined
3,T-helper,1195,81.237253,old / non,m,non,69,,General Electric RTI_Liz McDonough_undefined
