,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",93,17.953667,old / sun,m,sun,72,1771.597,General Electric RTI_Liz McDonough_undefined
1,T-Killer,4,0.7722,old / sun,m,sun,72,,General Electric RTI_Liz McDonough_undefined
2,T-reg,60,11.583011,old / sun,m,sun,72,,General Electric RTI_Liz McDonough_undefined
3,T-helper,361,69.691119,old / sun,m,sun,72,,General Electric RTI_Liz McDonough_undefined
