,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",190,9.443339,old / sun,m,sun,60,1075.333,General Electric RTI_Liz McDonough_undefined
1,T-Killer,22,1.093439,old / sun,m,sun,60,,General Electric RTI_Liz McDonough_undefined
2,T-reg,73,3.62823,old / sun,m,sun,60,,General Electric RTI_Liz McDonough_undefined
3,T-helper,1727,85.83499,old / sun,m,sun,60,,General Electric RTI_Liz McDonough_undefined
