cell_type,count,percentage,cat,sex,exp,age
"CD68 
/Macrophage",190,9.443339,old / sun,m,sun,60
T-Killer,22,1.093439,old / sun,m,sun,60
T-reg,73,3.62823,old / sun,m,sun,60
T-helper,1727,85.83499,old / sun,m,sun,60
P53,281,11.084812,old / sun,m,sun,60
KI67,1406,55.46351,old / sun,m,sun,60
DDB2,848,33.451676,old / sun,m,sun,60
