cell_type,count,percentage,cat,sex,exp,age
"CD68 
/Macrophage",151,6.307435,young / non,m,non,48
T-Killer,106,4.427736,young / non,m,non,48
T-reg,353,14.745196,young / non,m,non,48
T-helper,1784,74.519632,young / non,m,non,48
P53,148,5.75204,young / non,m,non,48
KI67,976,37.932374,young / non,m,non,48
DDB2,1449,56.315584,young / non,m,non,48
