cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,0,Male,,38,young,sun,0
T-Killer,2,Male,,38,young,sun,0.05
T-reg,19,Male,,38,young,sun,0.49
T-helper,87,Male,,38,young,sun,2.25
P53,794,Male,,38,young,sun,20.52
KI67,80,Male,,38,young,sun,2.07
DDB2,2887,Male,,38,young,sun,74.62
