cell_type,count,percentage,cat,sex,exp,age
"CD68 
/Macrophage",75,6.944444,old / non,m,non,53
T-Killer,26,2.407407,old / non,m,non,53
T-reg,10,0.925925,old / non,m,non,53
T-helper,969,89.722222,old / non,m,non,53
P53,66,5.200945,old / non,m,non,53
KI67,995,78.408195,old / non,m,non,53
DDB2,208,16.390858,old / non,m,non,53
