cell_type,count,percentage,cat,sex,exp,age
"CD68 
/Macrophage",672,38.84393,young / non,f,non,32
T-Killer,16,0.924855,young / non,f,non,32
T-reg,237,13.699421,young / non,f,non,32
T-helper,805,46.531791,young / non,f,non,32
P53,75,9.30521,young / non,f,non,32
KI67,536,66.50124,young / non,f,non,32
DDB2,195,24.193548,young / non,f,non,32
