cell_type,count,percentage,cat,sex,exp,age
"CD68 
/Macrophage",76,6.109324,young / sun,f,sun,22
T-Killer,47,3.778135,young / sun,f,sun,22
T-reg,63,5.064308,young / sun,f,sun,22
T-helper,1058,85.048231,young / sun,f,sun,22
P53,79,3.182917,young / sun,f,sun,22
KI67,363,14.625302,young / sun,f,sun,22
DDB2,2040,82.19178,young / sun,f,sun,22
