,cell_type,sex,race,count,percentage
0,native cell,male,European,10624,14.760885875455026
1,endothelial cell,male,European,3728,5.179648206296719
2,mesangial cell,male,European,634,0.8808736488176285
3,glomerular visceral epithelial cell,male,European,184,0.2556478728429711
4,pericyte cell,male,European,88,0.12226637396837746
5,leukocyte,male,European,217,0.30149776308111265
6,blood vessel smooth muscle cell,male,European,349,0.4848973240336788
7,kidney interstitial fibroblast,male,European,1636,2.2730430433211994
8,kidney connecting tubule epithelial cell,male,European,13,0.018062077972601218
9,kidney proximal convoluted tubule epithelial cell,male,European,4276,5.941034262372524
10,kidney distal convoluted tubule epithelial cell,male,European,22,0.030566593492094365
11,kidney loop of Henle epithelial cell,male,European,1,0.0013893906132770167
12,kidney loop of Henle thick ascending limb epithelial cell,male,European,3886,5.399171923194487
13,kidney loop of Henle thin descending limb epithelial cell,male,European,7017,9.749353933364826
14,kidney collecting duct principal cell,male,European,2765,3.8416650457109514
15,kidney collecting duct intercalated cell,male,European,547,0.7599966654625282
16,native cell,male,European,10624,14.760885875455026
17,endothelial cell,male,European,3728,5.179648206296719
18,mesangial cell,male,European,634,0.8808736488176285
19,glomerular visceral epithelial cell,male,European,184,0.2556478728429711
20,pericyte cell,male,European,88,0.12226637396837746
21,leukocyte,male,European,217,0.30149776308111265
22,blood vessel smooth muscle cell,male,European,349,0.4848973240336788
23,kidney interstitial fibroblast,male,European,1636,2.2730430433211994
24,kidney connecting tubule epithelial cell,male,European,13,0.018062077972601218
25,kidney proximal convoluted tubule epithelial cell,male,European,4276,5.941034262372524
26,kidney distal convoluted tubule epithelial cell,male,European,22,0.030566593492094365
27,kidney loop of Henle epithelial cell,male,European,1,0.0013893906132770167
28,kidney loop of Henle thick ascending limb epithelial cell,male,European,3886,5.399171923194487
29,kidney loop of Henle thin descending limb epithelial cell,male,European,7017,9.749353933364826
30,kidney collecting duct principal cell,male,European,2765,3.8416650457109514
31,kidney collecting duct intercalated cell,male,European,547,0.7599966654625282
