,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
0,Survey of human embryonic development,native cell,CL:0000003,female,unknown,18,0.004641914944645165
1,Survey of human embryonic development,blood vessel endothelial cell,CL:0000071,female,unknown,224,0.05776605264447316
2,Survey of human embryonic development,chromaffin cell,CL:0000166,female,unknown,7847,2.0236170317017
3,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,2860,0.7375487078713984
4,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,74,0.019083428105763453
5,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,501,0.1291999659592904
6,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,158,0.040745697847440886
7,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,87,0.022435922232451628
8,Survey of human embryonic development,cortical cell of adrenal gland,CL:0002097,female,unknown,43652,11.257159509091705
9,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,2359,0.608348741912108
10,Survey of human embryonic development,Schwann cell,CL:0002573,female,unknown,374,0.09644867718318285
11,Survey of human embryonic development,sympathetic neuron,CL:0011103,female,unknown,790,0.2037284892372044
12,Survey of human embryonic development,native cell,CL:0000003,female,unknown,8,0.002063073308731184
13,Survey of human embryonic development,blood vessel endothelial cell,CL:0000071,female,unknown,385,0.09928540298268823
14,Survey of human embryonic development,chromaffin cell,CL:0000166,female,unknown,6294,1.6231229256442592
15,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,523,0.13487341755830115
16,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,67,0.017278238960623665
17,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,344,0.08871215227544091
18,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,91,0.02346745888681722
19,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,66,0.017020354797032268
20,Survey of human embryonic development,cortical cell of adrenal gland,CL:0002097,female,unknown,76393,19.700544909237667
21,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,3120,0.8045985904051619
22,Survey of human embryonic development,Schwann cell,CL:0002573,female,unknown,187,0.04822433859159143
23,Survey of human embryonic development,sympathetic neuron,CL:0011103,female,unknown,361,0.09309618305649468
24,Survey of human embryonic development,native cell,CL:0000003,female,unknown,18,0.004641914944645165
25,Survey of human embryonic development,blood vessel endothelial cell,CL:0000071,female,unknown,156,0.04022992952025809
26,Survey of human embryonic development,chromaffin cell,CL:0000166,female,unknown,2326,0.5998385645135917
27,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,1406,0.3625851340095056
28,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,26,0.006704988253376349
29,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,184,0.047450686100817235
30,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,49,0.012636324015978504
31,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,78,0.020114964760129046
32,Survey of human embryonic development,cortical cell of adrenal gland,CL:0002097,female,unknown,39183,10.104675182001749
33,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,1252,0.32287097281643035
34,Survey of human embryonic development,Schwann cell,CL:0002573,female,unknown,78,0.020114964760129046
35,Survey of human embryonic development,sympathetic neuron,CL:0011103,female,unknown,462,0.1191424835792259
36,Survey of human embryonic development,native cell,CL:0000003,female,unknown,3,0.000773652490774194
37,Survey of human embryonic development,blood vessel endothelial cell,CL:0000071,female,unknown,134,0.03455647792124733
38,Survey of human embryonic development,chromaffin cell,CL:0000166,female,unknown,488,0.12584747183260223
39,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,716,0.18464506113144097
40,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,47,0.012120555688795706
41,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,407,0.10495885458169898
42,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,84,0.021662269741677433
43,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,178,0.045903381119268845
44,Survey of human embryonic development,cortical cell of adrenal gland,CL:0002097,female,unknown,37358,9.634036583447447
45,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,944,0.24344265043027974
46,Survey of human embryonic development,Schwann cell,CL:0002573,female,unknown,25,0.006447104089784951
47,Survey of human embryonic development,sympathetic neuron,CL:0011103,female,unknown,144,0.03713531955716132
48,Survey of human embryonic development,native cell,CL:0000003,male,unknown,5,0.00128942081795699
49,Survey of human embryonic development,blood vessel endothelial cell,CL:0000071,male,unknown,672,0.17329815793341946
50,Survey of human embryonic development,chromaffin cell,CL:0000166,male,unknown,2577,0.6645674895750328
51,Survey of human embryonic development,stromal cell,CL:0000499,male,unknown,875,0.22564864314247327
52,Survey of human embryonic development,megakaryocyte,CL:0000556,male,unknown,651,0.1678825904980001
53,Survey of human embryonic development,myeloid cell,CL:0000763,male,unknown,420,0.10831134870838716
54,Survey of human embryonic development,erythroblast,CL:0000765,male,unknown,2185,0.5634768974472046
55,Survey of human embryonic development,innate lymphoid cell,CL:0001065,male,unknown,101,0.026046300522731203
56,Survey of human embryonic development,cortical cell of adrenal gland,CL:0002097,male,unknown,46983,12.116171658014654
57,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,male,unknown,3756,0.9686129184492909
58,Survey of human embryonic development,Schwann cell,CL:0002573,male,unknown,155,0.039972045356666694
59,Survey of human embryonic development,sympathetic neuron,CL:0011103,male,unknown,927,0.23905861964922595
60,Survey of human embryonic development,native cell,CL:0000003,male,unknown,97,0.025014763868365607
61,Survey of human embryonic development,blood vessel endothelial cell,CL:0000071,male,unknown,153,0.0394562770294839
62,Survey of human embryonic development,chromaffin cell,CL:0000166,male,unknown,568,0.1464782049199141
63,Survey of human embryonic development,stromal cell,CL:0000499,male,unknown,3243,0.8363183425269038
64,Survey of human embryonic development,megakaryocyte,CL:0000556,male,unknown,38,0.009799598216473124
