,index,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
0,82927,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000003,native cell,473,13.564668769716087
1,82928,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000057,fibroblast,290,8.316604531115573
2,82929,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000097,mast cell,29,0.8316604531115571
3,82930,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000115,endothelial cell,24,0.6882707198164612
4,82931,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000192,smooth muscle cell,139,3.986234585603671
5,82932,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000235,macrophage,122,3.498709492400344
6,82933,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000236,B cell,5,0.14338973329509608
7,82934,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000451,dendritic cell,9,0.2581015199311729
8,82935,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000576,monocyte,1,0.028677946659019213
9,82936,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000623,natural killer cell,19,0.5448809865213651
10,82937,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000669,pericyte,1310,37.568110123315165
11,82938,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",14,0.40149125322626905
12,82939,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000814,mature NK T cell,8,0.2294235732721537
13,82940,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",18,0.5162030398623458
14,82941,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",8,0.2294235732721537
15,82942,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0001054,CD14-positive monocyte,1,0.028677946659019213
16,82943,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,730,20.934901061084027
17,82944,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,4,0.11471178663607685
18,82945,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0002144,capillary endothelial cell,109,3.1258961858330943
19,82946,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0002319,neural cell,24,0.6882707198164612
20,82947,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",2,0.05735589331803843
21,82948,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:0002543,vein endothelial cell,16,0.4588471465443074
22,82949,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:1000309,epicardial adipocyte,111,3.1832520791511323
23,82950,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,female,H7,fifth decade human stage,European,CL:1000413,endothelial cell of artery,21,0.6022368798394035
