,index,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
0,84191,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000003,native cell,555,8.063344471887259
1,84192,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000057,fibroblast,607,8.818828998983001
2,84193,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000097,mast cell,63,0.9152985616736888
3,84194,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000115,endothelial cell,212,3.080052302774953
4,84195,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000192,smooth muscle cell,406,5.898590730785994
5,84196,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000235,macrophage,146,2.121168095307279
6,84197,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000236,B cell,3,0.04358564579398518
7,84198,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000451,dendritic cell,11,0.15981403457794566
8,84199,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000576,monocyte,11,0.15981403457794566
9,84200,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000623,natural killer cell,28,0.40679936074386164
10,84201,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000669,pericyte,1129,16.402731367136422
11,84202,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",41,0.5956704925177975
12,84203,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000814,mature NK T cell,10,0.1452854859799506
13,84204,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",1,0.01452854859799506
14,84205,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",99,1.438326311201511
15,84206,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",24,0.34868516635188146
16,84207,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0001054,CD14-positive monocyte,9,0.13075693738195554
17,84208,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0002129,regular atrial cardiac myocyte,3271,47.52288246404184
18,84209,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0002144,capillary endothelial cell,77,1.1186982420456195
19,84210,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0002319,neural cell,83,1.20586953363359
20,84211,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",10,0.1452854859799506
21,84212,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:0002543,vein endothelial cell,12,0.17434258317594073
22,84213,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:1000309,epicardial adipocyte,48,0.6973703327037629
23,84214,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,H7,fifth decade human stage,European,CL:1000413,endothelial cell of artery,27,0.3922708121458667
