,index,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
0,83855,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000003,native cell,300,7.313505607020964
1,83856,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000057,fibroblast,407,9.92198927352511
2,83857,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000097,mast cell,34,0.8288639687957094
3,83858,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000115,endothelial cell,28,0.6825938566552902
4,83859,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000192,smooth muscle cell,114,2.779132130667967
5,83860,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000235,macrophage,105,2.5597269624573378
6,83861,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000236,B cell,21,0.5119453924914675
7,83862,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000451,dendritic cell,1,0.024378352023403216
8,83863,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000576,monocyte,6,0.14627011214041932
9,83864,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000623,natural killer cell,30,0.7313505607020965
10,83865,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000669,pericyte,419,10.214529497805948
11,83866,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",22,0.5363237445148707
12,83867,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000814,mature NK T cell,8,0.19502681618722573
13,83868,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",1,0.024378352023403216
14,83869,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",19,0.46318868844466116
15,83870,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",9,0.21940516821062897
16,83871,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0001054,CD14-positive monocyte,7,0.17064846416382254
17,83872,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,2301,56.09458800585081
18,83873,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,6,0.14627011214041932
19,83874,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0002144,capillary endothelial cell,156,3.803022915650902
20,83875,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0002319,neural cell,44,1.0726474890297415
21,83876,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",14,0.3412969283276451
22,83877,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:0002543,vein endothelial cell,19,0.46318868844466116
23,83878,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:1000309,epicardial adipocyte,7,0.17064846416382254
24,83879,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,H6,fifth decade human stage,European,CL:1000413,endothelial cell of artery,24,0.5850804485616773
