,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,All — Cells of the adult human heart,native cell,CL:0000003,female,European,eighth decade human stage,148,0.030444280795007137
1,All — Cells of the adult human heart,fibroblast,CL:0000057,female,European,eighth decade human stage,1348,0.2772898007545245
2,All — Cells of the adult human heart,mesothelial cell,CL:0000077,female,European,eighth decade human stage,3,0.0006171137998987933
3,All — Cells of the adult human heart,mast cell,CL:0000097,female,European,eighth decade human stage,1,0.00020570459996626446
4,All — Cells of the adult human heart,endothelial cell,CL:0000115,female,European,eighth decade human stage,53,0.010902343798212016
5,All — Cells of the adult human heart,smooth muscle cell,CL:0000192,female,European,eighth decade human stage,26,0.005348319599122875
6,All — Cells of the adult human heart,macrophage,CL:0000235,female,European,eighth decade human stage,123,0.02530166579585053
7,All — Cells of the adult human heart,dendritic cell,CL:0000451,female,European,eighth decade human stage,2,0.0004114091999325289
8,All — Cells of the adult human heart,monocyte,CL:0000576,female,European,eighth decade human stage,2,0.0004114091999325289
9,All — Cells of the adult human heart,natural killer cell,CL:0000623,female,European,eighth decade human stage,1,0.00020570459996626446
10,All — Cells of the adult human heart,pericyte cell,CL:0000669,female,European,eighth decade human stage,932,0.19171668716855847
11,All — Cells of the adult human heart,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,female,European,eighth decade human stage,1,0.00020570459996626446
12,All — Cells of the adult human heart,"activated CD8-positive, alpha-beta T cell",CL:0000906,female,European,eighth decade human stage,5,0.0010285229998313221
13,All — Cells of the adult human heart,regular ventricular cardiac myocyte,CL:0002131,female,European,eighth decade human stage,2001,0.41161490453249516
14,All — Cells of the adult human heart,endothelial cell of lymphatic vessel,CL:0002138,female,European,eighth decade human stage,14,0.0028798643995277024
15,All — Cells of the adult human heart,capillary endothelial cell,CL:0002144,female,European,eighth decade human stage,469,0.09647545738417802
16,All — Cells of the adult human heart,neural cell,CL:0002319,female,European,eighth decade human stage,18,0.00370268279939276
