,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,CL:0000057,male,European,543,8.763718528082634
1,Tabula Sapiens - All Cells,duct epithelial cell,CL:0000068,male,European,990,15.978050355067786
2,Tabula Sapiens - All Cells,T cell,CL:0000084,male,European,70,1.129761136216914
3,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,male,European,123,1.9851517107811492
4,Tabula Sapiens - All Cells,myoepithelial cell,CL:0000185,male,European,61,0.9845061329890251
5,Tabula Sapiens - All Cells,macrophage,CL:0000235,male,European,637,10.280826339573919
6,Tabula Sapiens - All Cells,basal cell,CL:0000646,male,European,880,14.202711426726921
7,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,male,European,99,1.5978050355067785
8,Tabula Sapiens - All Cells,plasma cell,CL:0000786,male,European,309,4.987088444157521
9,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,male,European,257,4.1478373143963845
10,Tabula Sapiens - All Cells,acinar cell of salivary gland,CL:0002623,male,European,2095,33.81213686249193
11,Tabula Sapiens - All Cells,ionocyte,CL:0005006,male,European,87,1.4041316978695932
12,Tabula Sapiens - All Cells,salivary gland cell,CL:0009005,male,European,45,0.7262750161394448
