cell_type,count,percentage
Astro,1375,7.11993
Endo,134,0.693869
L2/3 IT,1,0.00517813
L5 IT,17271,89.4314
Micro-PVM,205,1.06152
Oligo,16,0.0828500
VLMC,310,1.60522
