cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,776,10.2646
Endo L2-5 NOSTRIN SRGN,18,0.238095
Exc L2 LINC00507 GLRA3,38,0.502646
Exc L3 LAMP5 CARM1P1,3413,45.1455
Exc L3-5 RORB LNX2,1490,19.7090
Exc L5 FEZF2 PKD2L1,30,0.396825
Inh L1 PVALB SST ASIC4,27,0.357143
Inh L1-5 VIP SMOC1,629,8.32011
Inh L1-6 SST NPY,3,0.0396825
Inh L3 PVALB SAMD13,56,0.740741
Inh L5-6 PVALB KCNIP2,8,0.105820
Micro L1-6 TYROBP CD74,176,2.32804
Oligo L2-6 OPALIN FTH1P3,349,4.61640
Oligo L3-6 OPALIN ENPP6,84,1.11111
Oligo L3-6 OPALIN LRP4-AS1,17,0.224868
OPC L1-6 PDGFRA COL20A1,319,4.21958
VLMC L1-5 PDGFRA COLEC12,127,1.67989
