cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,29,0.357760
Astro L1-6 FGFR3 PLCG1,905,11.1646
Endo L2-5 NOSTRIN SRGN,55,0.678510
Exc L2 LINC00507 GLRA3,48,0.592154
Exc L3 LAMP5 CARM1P1,2191,27.0294
Exc L3-5 RORB LNX2,1874,23.1187
Exc L5 FEZF2 PKD2L1,32,0.394769
Exc L5-6 FEZF2 LPO,457,5.63780
Inh L1-5 VIP SMOC1,962,11.8678
Inh L1-6 VIP SLC7A6OS,24,0.296077
Inh L3 PVALB SAMD13,24,0.296077
Inh L5-6 PVALB KCNIP2,15,0.185048
Micro L1-6 TYROBP CD74,294,3.62694
Oligo L2-6 OPALIN FTH1P3,474,5.84752
Oligo L3-6 OPALIN ENPP6,97,1.19664
Oligo L3-6 OPALIN LRP4-AS1,55,0.678510
OPC L1-6 PDGFRA COL20A1,459,5.66247
VLMC L1-5 PDGFRA COLEC12,111,1.36936
