cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,864,12.2086
Endo L2-5 NOSTRIN SRGN,56,0.791296
Exc L2 LINC00507 GLRA3,43,0.607602
Exc L3-5 RORB LNX2,4084,57.7081
Inh L1-5 VIP SMOC1,775,10.9510
Inh L1-6 SST NPY,71,1.00325
Inh L2-5 VIP BSPRY,2,0.0282606
Inh L3 PVALB SAMD13,198,2.79780
Inh L5-6 PVALB KCNIP2,7,0.0989120
Micro L1-6 TYROBP CD74,101,1.42716
Oligo L2-6 OPALIN FTH1P3,295,4.16843
Oligo L3-6 OPALIN ENPP6,29,0.409778
Oligo L3-6 OPALIN LRP4-AS1,20,0.282606
OPC L1-6 PDGFRA COL20A1,351,4.95973
VLMC L1-5 PDGFRA COLEC12,181,2.55758
