cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,1,0.0172592
Astro L1-6 FGFR3 PLCG1,557,9.61339
Endo L2-5 NOSTRIN SRGN,26,0.448740
Exc L2 LINC00507 GLRA3,3,0.0517777
Exc L3 LAMP5 CARM1P1,3403,58.7332
Exc L3-5 RORB LNX2,91,1.57059
Exc L5-6 FEZF2 IFNG-AS1,3,0.0517777
Exc L5-6 FEZF2 LPO,91,1.57059
Inh L1-5 VIP SMOC1,508,8.76769
Inh L1-6 PVALB COL15A1,10,0.172592
Inh L3 PVALB SAMD13,48,0.828443
Inh L5-6 PVALB KCNIP2,9,0.155333
Micro L1-6 TYROBP CD74,158,2.72696
Oligo L2-6 OPALIN FTH1P3,276,4.76355
Oligo L3-6 OPALIN ENPP6,55,0.949258
Oligo L3-6 OPALIN LRP4-AS1,9,0.155333
OPC L1-6 PDGFRA COL20A1,240,4.14222
VLMC L1-5 PDGFRA COLEC12,306,5.28133
