cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,252,4.79635
Endo L2-5 NOSTRIN SRGN,13,0.247431
Exc L2 LINC00507 GLRA3,100,1.90331
Exc L5 FEZF2 PKD2L1,18,0.342596
Inh L1 VIP KLHDC8B,16,0.304530
Inh L1-2 VIP EXPH5,11,0.209364
Inh L1-2 VIP WNT4,6,0.114199
Inh L1-3 VIP CBLN1,9,0.171298
Inh L1-5 VIP SMOC1,1,0.0190331
Inh L1-6 LAMP5 NES,5,0.0951656
Inh L1-6 SST NPY,51,0.970689
Inh L2-5 VIP SOX11,16,0.304530
Inh L3-6 PAX6 LINC01497,23,0.437762
Inh L5 PVALB LRIG3,85,1.61781
Micro L1-6 TYROBP CD74,230,4.37762
Oligo L2-6 OPALIN FTH1P3,3785,72.0404
Oligo L3-6 OPALIN ENPP6,294,5.59574
Oligo L3-6 OPALIN LRP4-AS1,140,2.66464
OPC L1-6 PDGFRA COL20A1,165,3.14046
VLMC L1-5 PDGFRA COLEC12,34,0.647126
