cell_type,count,percentage
Astro,807,14.6541
Endo,80,1.45270
L5 IT,4539,82.4224
Micro-PVM,12,0.217904
Oligo,7,0.127111
OPC,18,0.326857
Vip,4,0.0726348
VLMC,40,0.726348
