cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,292,8.89430
Astro L1-6 FGFR3 PLCG1,956,29.1197
Endo L2-5 NOSTRIN SRGN,641,19.5248
Micro L1-6 TYROBP CD74,1097,33.4146
Oligo L2-6 OPALIN FTH1P3,35,1.06610
OPC L1-6 PDGFRA COL20A1,184,5.60463
VLMC L1-5 PDGFRA COLEC12,78,2.37588
