cell_type,count,percentage
Astro,1036,8.52956
Endo,122,1.00445
L2/3 IT,102,0.839783
L5 IT,10321,84.9745
Micro-PVM,179,1.47374
Oligo,28,0.230529
OPC,289,2.37938
VLMC,69,0.568088
