cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,819,3.42821
Endo L2-5 NOSTRIN SRGN,23,0.0962746
Exc L2 LINC00507 GLRA3,20309,85.0105
Exc L3-5 RORB LNX2,32,0.133947
Micro L1-6 TYROBP CD74,1815,7.59732
Oligo L2-6 OPALIN FTH1P3,153,0.640435
OPC L1-6 PDGFRA COL20A1,402,1.68271
VLMC L1-5 PDGFRA COLEC12,337,1.41063
