cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,71,1.05875
Astro L1-6 FGFR3 PLCG1,580,8.64897
Endo L2-5 NOSTRIN SRGN,10,0.149120
Exc L2 LINC00507 GLRA3,1974,29.4363
Exc L5 THEMIS SLC22A18,1,0.0149120
Exc L5-6 FEZF2 C9orf135-AS1,1,0.0149120
Exc L5-6 FEZF2 LPO,2636,39.3081
Exc L5-6 THEMIS TNFAIP6,3,0.0447361
Inh L1 PAX6 CHRFAM7A,65,0.969281
Inh L1-5 VIP SMOC1,197,2.93767
Inh L1-6 SST NPY,42,0.626305
Inh L3 PVALB SAMD13,104,1.55085
Inh L5 PVALB LRIG3,3,0.0447361
Inh L5-6 PVALB KCNIP2,5,0.0745601
Micro L1-6 TYROBP CD74,127,1.89383
Oligo L2-6 OPALIN FTH1P3,187,2.78855
Oligo L3-6 OPALIN ENPP6,167,2.49031
Oligo L3-6 OPALIN LRP4-AS1,19,0.283328
OPC L1-6 PDGFRA COL20A1,339,5.05517
VLMC L1-5 PDGFRA COLEC12,175,2.60960
