cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,182,4.65473
Endo L2-5 NOSTRIN SRGN,341,8.72123
Exc L2 LINC00507 GLRA3,2514,64.2967
Inh L1-5 VIP SMOC1,241,6.16368
Micro L1-6 TYROBP CD74,617,15.7801
OPC L1-6 PDGFRA COL20A1,12,0.306905
VLMC L1-5 PDGFRA COLEC12,3,0.0767263
