cell_type,count,percentage
Astro,677,6.65552
Endo,36,0.353913
L2/3 IT,14,0.137633
L5 IT,8652,85.0570
Micro-PVM,139,1.36650
Oligo,30,0.294927
OPC,186,1.82855
VLMC,438,4.30594
