cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,189,8.59482
Endo L2-5 NOSTRIN SRGN,326,14.8249
Exc L2 LINC00507 GLRA3,1649,74.9886
Micro L1-6 TYROBP CD74,31,1.40973
VLMC L1-5 PDGFRA COLEC12,4,0.181901
