cell_type,count,percentage
Astro,795,5.46317
Endo,22,0.151182
L2/3 IT,11995,82.4285
L5 IT,1224,8.41121
Micro-PVM,66,0.453546
Oligo,169,1.16135
OPC,1,0.00687191
VLMC,280,1.92413
