cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,122,2.68191
Endo L2-5 NOSTRIN SRGN,50,1.09914
Exc L3-5 RORB LNX2,49,1.07716
Micro L1-6 TYROBP CD74,4150,91.2288
VLMC L1-5 PDGFRA COLEC12,178,3.91295
