cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,4,0.0889284
Astro L1-6 FGFR3 AQP1,30,0.666963
Astro L1-6 FGFR3 PLCG1,485,10.7826
Endo L2-5 NOSTRIN SRGN,8,0.177857
Exc L2 LINC00507 GLRA3,585,13.0058
Inh L1-3 VIP HSPB6,2574,57.2254
Inh L1-5 VIP SMOC1,204,4.53535
Inh L1-6 SST NPY,22,0.489106
Inh L3 PVALB SAMD13,57,1.26723
Inh L5-6 PVALB KCNIP2,7,0.155625
Micro L1-6 TYROBP CD74,105,2.33437
Oligo L2-6 OPALIN FTH1P3,177,3.93508
Oligo L3-6 OPALIN ENPP6,46,1.02268
Oligo L3-6 OPALIN LRP4-AS1,3,0.0666963
OPC L1-6 PDGFRA COL20A1,147,3.26812
VLMC L1-5 PDGFRA COLEC12,44,0.978213
