cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,779,8.99954
Endo L2-5 NOSTRIN SRGN,55,0.635397
Exc L2 LINC00507 GLRA3,60,0.693161
Micro L1-6 TYROBP CD74,7741,89.4293
OPC L1-6 PDGFRA COL20A1,2,0.0231054
VLMC L1-5 PDGFRA COLEC12,19,0.219501
