cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,3,0.0307787
Astro L1-6 FGFR3 AQP1,158,1.62101
Astro L1-6 FGFR3 PLCG1,224,2.29814
Endo L2-5 NOSTRIN SRGN,140,1.43634
Exc L2 LAMP5 KCNG3,40,0.410383
Exc L2 LINC00507 ATP7B,6,0.0615574
Exc L2 LINC00507 GLRA3,1946,19.9651
Exc L3-5 FEZF2 ASGR2,11,0.112855
Exc L5 FEZF2 CSN1S1,4379,44.9266
Exc L5-6 THEMIS SMYD1,23,0.235970
Inh L1 LAMP5 BMP2,29,0.297527
Inh L1 LAMP5 NMBR,41,0.420642
Inh L1 LAMP5 PVRL2,28,0.287268
Inh L1 LAMP5 RAB11FIP1,57,0.584795
Inh L1 PAX6 CHRFAM7A,47,0.482200
Inh L1 PAX6 MIR101-1,26,0.266749
Inh L1 PVALB SST ASIC4,39,0.400123
Inh L1 SST DEFB108B,46,0.471940
Inh L1 SST P4HA3,8,0.0820765
Inh L1 VIP KLHDC8B,8,0.0820765
Inh L1-2 PVALB CDK20,4,0.0410383
Inh L1-2 SST CLIC6,46,0.471940
Inh L1-2 VIP EXPH5,30,0.307787
Inh L1-2 VIP HTR3A,5,0.0512978
Inh L1-2 VIP SCML4,14,0.143634
Inh L1-2 VIP WNT4,41,0.420642
Inh L1-3 SST FAM20A,177,1.81594
Inh L1-3 VIP CBLN1,33,0.338566
Inh L1-3 VIP CHRNA2,24,0.246230
Inh L1-3 VIP FNDC1,28,0.287268
Inh L1-3 VIP HSPB6,122,1.25167
Inh L1-5 VIP LINC01013,24,0.246230
Inh L1-5 VIP SMOC1,106,1.08751
Inh L1-6 LAMP5 CA1,140,1.43634
Inh L1-6 LAMP5 NES,47,0.482200
Inh L1-6 PVALB COL15A1,24,0.246230
Inh L1-6 SST NPY,4,0.0410383
Inh L1-6 VIP SLC7A6OS,1,0.0102596
Inh L2 PAX6 FREM2,34,0.348825
Inh L2 VIP SLC6A16,17,0.174413
Inh L2-3 SST NMU,6,0.0615574
Inh L2-5 PVALB RPH3AL,110,1.12855
Inh L2-5 VIP BSPRY,34,0.348825
Inh L2-5 VIP SOX11,41,0.420642
Inh L3-5 SST CDH3,1,0.0102596
Inh L3-5 SST GGTLC3,7,0.0718170
Inh L3-5 SST OR5AH1P,20,0.205191
Inh L3-5 VIP HS3ST3A1,42,0.430902
Inh L3-5 VIP IGDCC3,24,0.246230
Inh L3-5 VIP TAC3,14,0.143634
Inh L3-6 VIP ZIM2-AS1,27,0.277008
Inh L5 SST RPL35AP11,52,0.533497
Inh L5-6 LAMP5 CRABP1,28,0.287268
Inh L5-6 PVALB MEPE,7,0.0718170
Inh L5-6 PVALB SST CRHR2,1,0.0102596
Inh L5-6 SST C4orf26,4,0.0410383
Inh L5-6 SST KLHL1,4,0.0410383
Inh L5-6 SST PAWR,7,0.0718170
Inh L5-6 VIP COL4A3,17,0.174413
Micro L1-6 TYROBP CD74,220,2.25710
Oligo L2-6 OPALIN FTH1P3,684,7.01754
Oligo L2-6 OPALIN MAP6D1,1,0.0102596
Oligo L3-6 OPALIN ENPP6,49,0.502719
Oligo L3-6 OPALIN LRP4-AS1,17,0.174413
OPC L1-6 PDGFRA COL20A1,142,1.45686
VLMC L1-5 PDGFRA COLEC12,8,0.0820765
