cell_type,count,percentage
Astro,938,5.14593
Endo,301,1.65131
L5 IT,15807,86.7182
Micro-PVM,671,3.68115
Oligo,37,0.202984
OPC,229,1.25631
Vip,102,0.559579
VLMC,143,0.784507
