cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,761,10.5096
Endo L2-5 NOSTRIN SRGN,54,0.745753
Exc L2 LINC00507 GLRA3,5343,73.7882
Exc L3-5 RORB RPRM,142,1.96106
Micro L1-6 TYROBP CD74,29,0.400497
Oligo L2-6 OPALIN FTH1P3,6,0.0828615
VLMC L1-5 PDGFRA COLEC12,906,12.5121
