"","cell_type","count"
"1","Adipocyte",33
"2","Arterial Endothelial",313
"3","Atrial Cardiomyocyte",34
"4","B",2015
"5","Capillary Endothelial",928
"6","Endocardial",94
"7","Endothelial",1
"8","Fibroblast",11647
"9","Lymphatic Endothelial",116
"10","Macrophage",1046
"11","Mast",108
"12","Mesothelial",275
"13","Monocyte/cDC",1607
"14","Neuronal",45
"15","NK",319
"16","Pericyte",970
"17","Smooth Muscle",189
"18","T",203
"19","Venous Endothelial",478
"20","Ventricular Cardiomycoyte",39927
