"","cell_type","count"
"1","Adipocyte",43
"2","Arterial Endothelial",264
"3","Atrial Cardiomyocyte",35
"4","B",2749
"5","Capillary Endothelial",838
"6","Endocardial",119
"7","Fibroblast",41832
"8","Lymphatic Endothelial",65
"9","Macrophage",864
"10","Mast",59
"11","Mesothelial",231
"12","Monocyte/cDC",1006
"13","Neuronal",53
"14","NK",265
"15","Pericyte",952
"16","Smooth Muscle",232
"17","T",133
"18","Venous Endothelial",235
"19","Ventricular Cardiomycoyte",3146
