"","cell_type","count"
"1","Arterial Endothelial",32
"2","B",366
"3","Capillary Endothelial",132
"4","Endocardial",12
"5","Fibroblast",321
"6","Lymphatic Endothelial",8
"7","Macrophage",40
"8","Mesothelial",1
"9","Monocyte/cDC",18
"10","Neuronal",5
"11","Pericyte",110
"12","Smooth Muscle",60
"13","T",17
"14","Venous Endothelial",100
"15","Ventricular Cardiomycoyte",2006
