"","cell_type","count"
"1","Adipocyte",44
"2","Arterial Endothelial",263
"3","Atrial Cardiomyocyte",14
"4","B",3118
"5","Capillary Endothelial",912
"6","Endocardial",254
"7","Fibroblast",42779
"8","Lymphatic Endothelial",171
"9","Macrophage",998
"10","Mast",80
"11","Mesothelial",615
"12","Monocyte/cDC",858
"13","Neuronal",65
"14","NK",154
"15","Pericyte",1349
"16","Smooth Muscle",158
"17","T",59
"18","Venous Endothelial",366
"19","Ventricular Cardiomycoyte",3348
