"","cell_type","count"
"1","Adipocyte",50
"2","Arterial Endothelial",13
"3","Atrial Cardiomyocyte",4
"4","B",6465
"5","Capillary Endothelial",60
"6","Endocardial",2
"7","Fibroblast",2947
"8","Lymphatic Endothelial",25
"9","Macrophage",150
"10","Mast",3
"11","Mesothelial",44
"12","Monocyte/cDC",43
"13","Neuronal",12
"14","NK",2
"15","Pericyte",50
"16","Smooth Muscle",43
"17","T",1
"18","Venous Endothelial",2
"19","Ventricular Cardiomycoyte",4382
