"","cell_type","count"
"1","Adipocyte",43
"2","Arterial Endothelial",178
"3","Atrial Cardiomyocyte",22
"4","B",3501
"5","Capillary Endothelial",1453
"6","Endocardial",119
"7","Endothelial",5
"8","Fibroblast",8495
"9","Lymphatic Endothelial",74
"10","Macrophage",736
"11","Mast",47
"12","Mesothelial",402
"13","Monocyte/cDC",912
"14","Neuronal",96
"15","NK",335
"16","Pericyte",1178
"17","Smooth Muscle",258
"18","T",218
"19","Venous Endothelial",367
"20","Ventricular Cardiomycoyte",46809
