"","cell_type","count"
"1","Adipocyte",59
"2","Arterial Endothelial",117
"3","Atrial Cardiomyocyte",13
"4","B",2265
"5","Capillary Endothelial",733
"6","Endocardial",185
"7","Fibroblast",39354
"8","Lymphatic Endothelial",106
"9","Macrophage",591
"10","Mast",98
"11","Mesothelial",622
"12","Monocyte/cDC",724
"13","Neuronal",25
"14","NK",236
"15","Pericyte",658
"16","Smooth Muscle",285
"17","T",129
"18","Venous Endothelial",51
"19","Ventricular Cardiomycoyte",3198
