"","cell_type","count"
"1","Adipocyte",112
"2","Arterial Endothelial",313
"3","Atrial Cardiomyocyte",31
"4","B",2027
"5","Capillary Endothelial",758
"6","Endocardial",292
"7","Endothelial",17
"8","Fibroblast",41156
"9","Lymphatic Endothelial",30
"10","Macrophage",890
"11","Mast",72
"12","Mesothelial",529
"13","Monocyte/cDC",947
"14","Neuronal",78
"15","NK",175
"16","Pericyte",850
"17","Smooth Muscle",201
"18","T",184
"19","Venous Endothelial",185
"20","Ventricular Cardiomycoyte",4790
