"","cell_type","count"
"1","Adipocyte",96
"2","Arterial Endothelial",253
"3","Atrial Cardiomyocyte",27
"4","B",1891
"5","Capillary Endothelial",489
"6","Endocardial",136
"7","Endothelial",3
"8","Fibroblast",42059
"9","Lymphatic Endothelial",62
"10","Macrophage",321
"11","Mast",52
"12","Mesothelial",194
"13","Monocyte/cDC",885
"14","Neuronal",30
"15","NK",153
"16","Pericyte",679
"17","Smooth Muscle",197
"18","T",90
"19","Venous Endothelial",131
"20","Ventricular Cardiomycoyte",4786
