,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
54,Global,group 3 innate lymphoid cell,CL:0001071,female,unknown,seventh decade human stage,86,0.13727712420387247
55,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,seventh decade human stage,316,0.5044136191677175
56,Global,T follicular helper cell,CL:0002038,female,unknown,seventh decade human stage,1957,3.1238526984532378
57,Global,macrophage,CL:0000235,female,unknown,sixth decade human stage,17,0.02713617571471898
58,Global,CD4-positive helper T cell,CL:0000492,female,unknown,sixth decade human stage,55,0.08779350966526729
59,Global,lymphocyte,CL:0000542,female,unknown,sixth decade human stage,92,0.14685459798553802
60,Global,animal cell,CL:0000548,female,unknown,sixth decade human stage,54,0.0861972640349897
61,Global,alveolar macrophage,CL:0000583,female,unknown,sixth decade human stage,1,0.001596245630277587
62,Global,plasmacytoid dendritic cell,CL:0000784,female,unknown,sixth decade human stage,10,0.015962456302775874
63,Global,plasma cell,CL:0000786,female,unknown,sixth decade human stage,30,0.047887368908327614
64,Global,memory B cell,CL:0000787,female,unknown,sixth decade human stage,1736,2.7710824141618913
65,Global,naive B cell,CL:0000788,female,unknown,sixth decade human stage,1645,2.6258240618066306
66,Global,alpha-beta T cell,CL:0000789,female,unknown,sixth decade human stage,11,0.01755870193305346
67,Global,gamma-delta T cell,CL:0000798,female,unknown,sixth decade human stage,12,0.019154947563331047
68,Global,regulatory T cell,CL:0000815,female,unknown,sixth decade human stage,635,1.013615975226268
69,Global,germinal center B cell,CL:0000844,female,unknown,sixth decade human stage,32,0.05107986016888279
70,Global,classical monocyte,CL:0000860,female,unknown,sixth decade human stage,39,0.06225357958082589
71,Global,non-classical monocyte,CL:0000875,female,unknown,sixth decade human stage,1,0.001596245630277587
72,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,sixth decade human stage,1700,2.713617571471898
73,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,female,unknown,sixth decade human stage,230,0.36713649496384504
74,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,sixth decade human stage,888,1.4174661196864973
75,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,female,unknown,sixth decade human stage,26,0.04150238638721727
76,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,female,unknown,sixth decade human stage,73,0.11652593101026386
77,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,sixth decade human stage,5,0.007981228151387937
78,Global,mucosal invariant T cell,CL:0000940,female,unknown,sixth decade human stage,15,0.023943684454163807
79,Global,plasmablast,CL:0000980,female,unknown,sixth decade human stage,4,0.006384982521110348
80,Global,conventional dendritic cell,CL:0000990,female,unknown,sixth decade human stage,28,0.044694877647772434
81,Global,"dendritic cell, human",CL:0001056,female,unknown,sixth decade human stage,16,0.025539930084441394
82,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,female,unknown,sixth decade human stage,62,0.0989672290772104
83,Global,group 3 innate lymphoid cell,CL:0001071,female,unknown,sixth decade human stage,9,0.014366210672498285
84,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,sixth decade human stage,276,0.44056379395661405
85,Global,T follicular helper cell,CL:0002038,female,unknown,sixth decade human stage,385,0.614554567656871
86,Global,mast cell,CL:0000097,male,unknown,seventh decade human stage,1,0.001596245630277587
87,Global,macrophage,CL:0000235,male,unknown,seventh decade human stage,48,0.07661979025332419
88,Global,CD4-positive helper T cell,CL:0000492,male,unknown,seventh decade human stage,193,0.3080754066435743
89,Global,lymphocyte,CL:0000542,male,unknown,seventh decade human stage,154,0.24582182706274844
90,Global,animal cell,CL:0000548,male,unknown,seventh decade human stage,27,0.04309863201749485
91,Global,alveolar macrophage,CL:0000583,male,unknown,seventh decade human stage,48,0.07661979025332419
92,Global,plasmacytoid dendritic cell,CL:0000784,male,unknown,seventh decade human stage,27,0.04309863201749485
93,Global,plasma cell,CL:0000786,male,unknown,seventh decade human stage,64,0.10215972033776557
94,Global,memory B cell,CL:0000787,male,unknown,seventh decade human stage,2026,3.2339936469423916
95,Global,naive B cell,CL:0000788,male,unknown,seventh decade human stage,440,0.7023480773221383
96,Global,alpha-beta T cell,CL:0000789,male,unknown,seventh decade human stage,464,0.7406579724488004
97,Global,gamma-delta T cell,CL:0000798,male,unknown,seventh decade human stage,22,0.03511740386610692
98,Global,regulatory T cell,CL:0000815,male,unknown,seventh decade human stage,581,0.9274187111912781
99,Global,germinal center B cell,CL:0000844,male,unknown,seventh decade human stage,130,0.2075119319360863
100,Global,classical monocyte,CL:0000860,male,unknown,seventh decade human stage,27,0.04309863201749485
101,Global,non-classical monocyte,CL:0000875,male,unknown,seventh decade human stage,3,0.004788736890832762
102,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,male,unknown,seventh decade human stage,1311,2.0926780212939167
103,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,male,unknown,seventh decade human stage,90,0.14366210672498284
104,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,male,unknown,seventh decade human stage,480,0.7661979025332418
105,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,seventh decade human stage,61,0.09737098344693282
106,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,male,unknown,seventh decade human stage,159,0.2538030552141364
107,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,male,unknown,seventh decade human stage,3,0.004788736890832762
108,Global,mucosal invariant T cell,CL:0000940,male,unknown,seventh decade human stage,26,0.04150238638721727
109,Global,plasmablast,CL:0000980,male,unknown,seventh decade human stage,16,0.025539930084441394
110,Global,conventional dendritic cell,CL:0000990,male,unknown,seventh decade human stage,29,0.046291123278050024
111,Global,"dendritic cell, human",CL:0001056,male,unknown,seventh decade human stage,35,0.055868597059715544
112,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,male,unknown,seventh decade human stage,9,0.014366210672498285
113,Global,group 3 innate lymphoid cell,CL:0001071,male,unknown,seventh decade human stage,45,0.07183105336249142
114,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,male,unknown,seventh decade human stage,285,0.45493000462911226
115,Global,T follicular helper cell,CL:0002038,male,unknown,seventh decade human stage,854,1.3631937682570594
116,Global,progenitor cell,CL:0011026,male,unknown,seventh decade human stage,1,0.001596245630277587
117,Global,mast cell,CL:0000097,male,unknown,sixth decade human stage,40,0.0638498252111035
118,Global,macrophage,CL:0000235,male,unknown,sixth decade human stage,19,0.030328666975274154
119,Global,CD4-positive helper T cell,CL:0000492,male,unknown,sixth decade human stage,291,0.4645074784107779
120,Global,lymphocyte,CL:0000542,male,unknown,sixth decade human stage,209,0.3336153367280157
121,Global,animal cell,CL:0000548,male,unknown,sixth decade human stage,121,0.19314572126358803
122,Global,alveolar macrophage,CL:0000583,male,unknown,sixth decade human stage,22,0.03511740386610692
123,Global,plasmacytoid dendritic cell,CL:0000784,male,unknown,sixth decade human stage,3,0.004788736890832762
124,Global,plasma cell,CL:0000786,male,unknown,sixth decade human stage,227,0.3623477580730123
125,Global,memory B cell,CL:0000787,male,unknown,sixth decade human stage,4476,7.14479544112248
126,Global,naive B cell,CL:0000788,male,unknown,sixth decade human stage,1250,1.995307037846984
127,Global,alpha-beta T cell,CL:0000789,male,unknown,sixth decade human stage,482,0.7693903937937969
128,Global,gamma-delta T cell,CL:0000798,male,unknown,sixth decade human stage,89,0.14206586109470526
129,Global,regulatory T cell,CL:0000815,male,unknown,sixth decade human stage,2560,4.086388813510624
130,Global,pro-B cell,CL:0000826,male,unknown,sixth decade human stage,1,0.001596245630277587
131,Global,germinal center B cell,CL:0000844,male,unknown,sixth decade human stage,31,0.0494836145386052
132,Global,classical monocyte,CL:0000860,male,unknown,sixth decade human stage,23,0.036713649496384504
133,Global,non-classical monocyte,CL:0000875,male,unknown,sixth decade human stage,1,0.001596245630277587
134,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,male,unknown,sixth decade human stage,7517,11.998978402796624
135,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,male,unknown,sixth decade human stage,2638,4.210895972672275
136,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,male,unknown,sixth decade human stage,3340,5.3314604051271415
137,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,sixth decade human stage,59,0.09417849218637764
138,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,male,unknown,sixth decade human stage,73,0.11652593101026386
139,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,male,unknown,sixth decade human stage,40,0.0638498252111035
140,Global,mucosal invariant T cell,CL:0000940,male,unknown,sixth decade human stage,74,0.11812217664054145
141,Global,plasmablast,CL:0000980,male,unknown,sixth decade human stage,434,0.6927706035404728
142,Global,conventional dendritic cell,CL:0000990,male,unknown,sixth decade human stage,15,0.023943684454163807
143,Global,"dendritic cell, human",CL:0001056,male,unknown,sixth decade human stage,22,0.03511740386610692
144,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,male,unknown,sixth decade human stage,43,0.06863856210193624
145,Global,group 3 innate lymphoid cell,CL:0001071,male,unknown,sixth decade human stage,108,0.1723945280699794
146,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,male,unknown,sixth decade human stage,652,1.0407521509409867
147,Global,T follicular helper cell,CL:0002038,male,unknown,sixth decade human stage,4233,6.756907752965026
148,Global,progenitor cell,CL:0011026,male,unknown,sixth decade human stage,7,0.011173719411943108
