"","cell_type","count","percentage"
"1","Astro_1",191,0.778765391829079
"2","Astro_2",377,1.53714425507625
"3","Chandelier",69,0.2813340944304
"4","Endo",64,0.260947565848487
"5","exclude",124,0.505585908831444
"6","L2/3 IT",1601,6.52776645192857
"7","L5 ET_1",770,3.13952540161461
"8","L5 ET_2",88,0.35880290304167
"9","L5 IT_1",1062,4.33009867079834
"10","L5 IT_2",1126,4.59104623664682
"11","L5 IT_3",64,0.260947565848487
"12","L5/6 NP",1487,6.06295360026095
"13","L6 CT_1",584,2.38114653836745
"14","L6 CT_2",1416,5.77346489439778
"15","L6 IT_1",1341,5.46766696566909
"16","L6 IT_2",635,2.58908912990296
"17","L6 IT_3",327,1.33327896925711
"18","L6b",2000,8.15461143276523
"19","Lamp5_1",43,0.175324145804452
"20","Lamp5_2",991,4.04060996493517
"21","Lamp5_3",634,2.58501182418658
"22","Lamp5_4",101,0.411807877354644
"23","Lamp5_5",231,0.941857620484384
"24","Microglia/PVM",108,0.440349017369322
"25","Oligo_1",369,1.50452580934518
"26","Oligo_2",1507,6.1444997145886
"27","OPC",283,1.15387751773628
"28","Pvalb_1",1803,7.35138220663785
"29","Pvalb_2",128,0.521895131696975
"30","Sncg_1",246,1.00301720623012
"31","Sncg_2",108,0.440349017369322
"32","Sncg_3",94,0.383266737339966
"33","Sncg_4",447,1.82255565522303
"34","Sst Chodl",67,0.273179482997635
"35","Sst_1",287,1.17018674060181
"36","Sst_2",259,1.0560221805431
"37","Sst_3",1157,4.71744271385468
"38","Sst_4",106,0.432194405936557
"39","Sst_5",33,0.134551088640626
"40","Sst_6",130,0.53004974312974
"41","Sst_7",28,0.114164560058713
"42","Vip_1",558,2.2751365897415
"43","Vip_2",725,2.9560466443774
"44","Vip_3",460,1.875560629536
"45","Vip_4",257,1.04786756911033
"46","VLMC",40,0.163092228655305
