"","cell_type","count","percentage"
"1","Astro L1 FGFR3 SERPINI2",72,0.293566011579548
"2","Astro L1-6 FGFR3 AQP1",119,0.485199380249531
"3","Astro L1-6 FGFR3 PLCG1",377,1.53714425507625
"4","Endo L2-5 NOSTRIN SRGN",64,0.260947565848487
"5","Exc L2 LAMP5 KCNG3",16,0.0652368914621218
"6","Exc L2 LINC00507 ATP7B",16,0.0652368914621218
"7","Exc L2 LINC00507 GLRA3",1057,4.30971214221642
"8","Exc L2-3 LINC00507 DSG3",87,0.354725597325287
"9","Exc L2-3 RORB CCDC68",281,1.14572290630351
"10","Exc L2-3 RORB PTPN3",118,0.481122074533148
"11","Exc L2-3 RORB RTKN2",107,0.43627171165294
"12","Exc L3 LAMP5 CARM1P1",318,1.29658321780967
"13","Exc L3 RORB OTOGL",296,1.20688249204925
"14","Exc L3 THEMIS ENPEP",100,0.407730571638261
"15","Exc L3-5 FEZF2 ASGR2",620,2.52792954415722
"16","Exc L3-5 FEZF2 LINC01107",88,0.35880290304167
"17","Exc L3-5 RORB LAMA4",36,0.146783005789774
"18","Exc L3-5 RORB LINC01202",108,0.440349017369322
"19","Exc L3-5 RORB LNX2",662,2.69917638424529
"20","Exc L3-5 RORB RPRM",196,0.799151920410992
"21","Exc L3-5 RORB TNNT2",92,0.3751121259072
"22","Exc L5 FEZF2 CSN1S1",150,0.611595857457392
"23","Exc L5 FEZF2 NREP-AS1",229,0.933703009051619
"24","Exc L5 FEZF2 PKD2L1",280,1.14164560058713
"25","Exc L5 FEZF2 RNF144A-AS1",108,0.440349017369322
"26","Exc L5 RORB MED8",47,0.191633368669983
"27","Exc L5 THEMIS FGF10",17,0.0693141971785044
"28","Exc L5 THEMIS LINC01116",79,0.322107151594227
"29","Exc L5 THEMIS RGPD6",130,0.53004974312974
"30","Exc L5 THEMIS SLC22A18",268,1.09271793199054
"31","Exc L5 THEMIS VILL",31,0.126396477207861
"32","Exc L5-6 FEZF2 C9orf135-AS1",1416,5.77346489439778
"33","Exc L5-6 FEZF2 CFTR",102,0.415885183071027
"34","Exc L5-6 FEZF2 FILIP1L",154,0.627905080322923
"35","Exc L5-6 FEZF2 IFNG-AS1",753,3.07021120443611
"36","Exc L5-6 FEZF2 LPO",117,0.477044768816766
"37","Exc L5-6 FEZF2 OR1L8",140,0.570822800293566
"38","Exc L5-6 FEZF2 SH2D1B",81,0.330261763026992
"39","Exc L5-6 THEMIS SMYD1",327,1.33327896925711
"40","Exc L5-6 THEMIS TNFAIP6",147,0.599363940308244
"41","Exc L6 FEZF2 FFAR4",95,0.387344043056348
"42","Exc L6 FEZF2 KLK7",1599,6.5196118404958
"43","Exc L6 FEZF2 PDYN",19,0.0774688086112697
"44","Exc L6 FEZF2 POGK",118,0.481122074533148
"45","Exc L6 FEZF2 PROKR2",67,0.273179482997635
"46","Exc L6 THEMIS LINC00343",905,3.68996167332627
"47","Exc L6 THEMIS SLN",436,1.77770529234282
"48","Exc L6 THEMIS SNTG2",488,1.98972518959472
"49","Inh L1 LAMP5 BMP2",145,0.591209328875479
"50","Inh L1 LAMP5 NMBR",86,0.350648291608905
"51","Inh L1 LAMP5 PVRL2",43,0.175324145804452
"52","Inh L1 LAMP5 RAB11FIP1",112,0.456658240234853
"53","Inh L1 PAX6 CHRFAM7A",185,0.754301557530784
"54","Inh L1 PAX6 MIR101-1",65,0.26502487156487
"55","Inh L1 PVALB SST ASIC4",186,0.758378863247166
"56","Inh L1 SST DEFB108B",223,0.909239174753323
"57","Inh L1 SST P4HA3",38,0.154937617222539
"58","Inh L1 VIP KLHDC8B",37,0.150860311506157
"59","Inh L1-2 PVALB CDK20",35,0.142705700073392
"60","Inh L1-2 SST CCNJL",97,0.395498654489114
"61","Inh L1-2 SST CLIC6",46,0.1875560629536
"62","Inh L1-2 SST PRRT4",123,0.501508603115062
"63","Inh L1-2 VIP EXPH5",219,0.892929951887792
"64","Inh L1-2 VIP HTR3A",42,0.17124684008807
"65","Inh L1-2 VIP PTGER3",35,0.142705700073392
"66","Inh L1-2 VIP SCML4",53,0.216097202968279
"67","Inh L1-2 VIP WNT4",52,0.212019897251896
"68","Inh L1-3 SST FAM20A",367,1.49637119791242
"69","Inh L1-3 VIP CBLN1",182,0.742069640381636
"70","Inh L1-3 VIP CHRNA2",125,0.509663214547827
"71","Inh L1-3 VIP FNDC1",39,0.159014922938922
"72","Inh L1-3 VIP HSPB6",157,0.640136997472071
"73","Inh L1-5 VIP CD27-AS1",32,0.130473782924244
"74","Inh L1-5 VIP LINC01013",56,0.228329120117426
"75","Inh L1-5 VIP PHLDB3",29,0.118241865775096
"76","Inh L1-5 VIP SMOC1",249,1.01524912337927
"77","Inh L1-6 LAMP5 AARD",687,2.80110902715486
"78","Inh L1-6 LAMP5 CA1",223,0.909239174753323
"79","Inh L1-6 LAMP5 NES",192,0.782842697545462
"80","Inh L1-6 PVALB COL15A1",69,0.2813340944304
"81","Inh L1-6 SST NPY",67,0.273179482997635
"82","Inh L1-6 VIP SLC7A6OS",61,0.248715648699339
"83","Inh L2 PAX6 FREM2",108,0.440349017369322
"84","Inh L2 PVALB FRZB",28,0.114164560058713
"85","Inh L2 VIP SLC6A16",122,0.497431297398679
"86","Inh L2-3 SST NMU",153,0.62382777460654
"87","Inh L2-5 PVALB HHIPL1",141,0.574900106009949
"88","Inh L2-5 PVALB RPH3AL",820,3.34339068743374
"89","Inh L2-5 VIP BSPRY",38,0.154937617222539
"90","Inh L2-5 VIP SOX11",63,0.256870260132105
"91","Inh L3 PVALB SAMD13",338,1.37812933213732
"92","Inh L3-5 PVALB ISG20",58,0.236483731550192
"93","Inh L3-5 SST CDH3",17,0.0693141971785044
"94","Inh L3-5 SST GGTLC3",417,1.70023648373155
"95","Inh L3-5 SST OR5AH1P",78,0.318029845877844
"96","Inh L3-5 VIP HS3ST3A1",104,0.424039794503792
"97","Inh L3-5 VIP IGDCC3",169,0.689064666068662
"98","Inh L3-5 VIP TAC3",145,0.591209328875479
"99","Inh L3-6 PAX6 LINC01497",36,0.146783005789774
"100","Inh L3-6 VIP UG0898H09",53,0.216097202968279
"101","Inh L3-6 VIP ZIM2-AS1",56,0.228329120117426
"102","Inh L5 PVALB LRIG3",163,0.664600831770366
