"","cell_type","count","percentage"
"1","Astro",568,2.31590964690532
"2","Endo",64,0.260947565848487
"3","L2/3 IT",2000,8.15461143276523
"4","L5 ET",858,3.49832830465628
"5","L5 IT",2000,8.15461143276523
"6","L5/6 NP",1487,6.06295360026095
"7","L6 CT",2000,8.15461143276523
"8","L6 IT",1829,7.4573921552638
"9","L6 IT Car3",327,1.33327896925711
"10","L6b",2000,8.15461143276523
"11","Lamp5",2000,8.15461143276523
"12","Micro-PVM",108,0.440349017369322
"13","Oligo",2000,8.15461143276523
"14","OPC",283,1.15387751773628
"15","Pvalb",2000,8.15461143276523
"16","Sncg",895,3.64918861616244
"17","Sst",2000,8.15461143276523
"18","Sst Chodl",67,0.273179482997635
"19","Vip",2000,8.15461143276523
"20","VLMC",40,0.163092228655305
