,cell_type,sex,race,count,percentage
0,epithelial cell,male,Hispanic or Latin American,6,0.29895366218236175
1,T cell,male,Hispanic or Latin American,11,0.5480817140009965
2,mast cell,male,Hispanic or Latin American,92,4.58395615346288
3,endothelial cell,male,Hispanic or Latin American,52,2.590931738913802
4,melanocyte,male,Hispanic or Latin American,6,0.29895366218236175
5,muscle cell,male,Hispanic or Latin American,22,1.096163428001993
6,macrophage,male,Hispanic or Latin American,103,5.132037867463876
7,Langerhans cell,male,Hispanic or Latin American,3,0.14947683109118087
8,CD4-positive helper T cell,male,Hispanic or Latin American,1,0.04982561036372695
9,stromal cell,male,Hispanic or Latin American,58,2.8898854010961634
10,plasma cell,male,Hispanic or Latin American,1,0.04982561036372695
11,"CD8-positive, alpha-beta cytotoxic T cell",male,Hispanic or Latin American,2,0.0996512207274539
12,mature NK T cell,male,Hispanic or Latin American,14,0.6975585450921774
13,regulatory T cell,male,Hispanic or Latin American,1,0.04982561036372695
14,"naive thymus-derived CD4-positive, alpha-beta T cell",male,Hispanic or Latin American,1,0.04982561036372695
15,"CD4-positive, alpha-beta memory T cell",male,Hispanic or Latin American,5,0.2491280518186348
16,"naive thymus-derived CD8-positive, alpha-beta T cell",male,Hispanic or Latin American,2,0.0996512207274539
17,"CD8-positive, alpha-beta memory T cell",male,Hispanic or Latin American,24,1.195814648729447
18,CD141-positive myeloid dendritic cell,male,Hispanic or Latin American,3,0.14947683109118087
19,CD1c-positive myeloid dendritic cell,male,Hispanic or Latin American,10,0.4982561036372696
20,epithelial cell,male,European,3,0.14947683109118087
21,T cell,male,European,98,4.882909815645242
22,mast cell,male,European,51,2.5411061285500747
23,endothelial cell,male,European,139,6.9257598405580465
24,melanocyte,male,European,2,0.0996512207274539
25,muscle cell,male,European,101,5.032386646736422
26,smooth muscle cell,male,European,4,0.1993024414549078
27,macrophage,male,European,90,4.484304932735426
28,Langerhans cell,male,European,13,0.6477329347284505
29,CD4-positive helper T cell,male,European,12,0.5979073243647235
30,stromal cell,male,European,576,28.699551569506728
31,plasma cell,male,European,9,0.4484304932735426
32,"CD8-positive, alpha-beta cytotoxic T cell",male,European,29,1.4449427005480817
33,mature NK T cell,male,European,118,5.879422022919781
34,regulatory T cell,male,European,47,2.3418036870951666
35,"naive thymus-derived CD4-positive, alpha-beta T cell",male,European,17,0.8470353761833582
36,"CD4-positive, alpha-beta memory T cell",male,European,89,4.434479322371699
37,"naive thymus-derived CD8-positive, alpha-beta T cell",male,European,8,0.3986048829098156
38,"CD8-positive, alpha-beta memory T cell",male,European,164,8.17140009965122
39,CD141-positive myeloid dendritic cell,male,European,3,0.14947683109118087
40,CD1c-positive myeloid dendritic cell,male,European,17,0.8470353761833582
