"","cell_type","count","percentage"
"1","Adipocyte",5274,0.803340091301109
"2","B",802,0.12216131081219
"3","Cardiomyocyte",206808,31.5011675392112
"4","Endothelial",119967,18.2734737832992
"5","Fibroblast",139421,21.2367233350952
"6","Lymphatic Endothelial",3008,0.458181075963924
"7","Mast",2690,0.409743049981036
"8","Mesothelial",1953,0.297482593536418
"9","Myeloid",48556,7.39609053341234
"10","Neuronal",6212,0.946217035866987
"11","NK/T",10923,1.66380049626129
"12","Pericyte",93776,14.2840387565136
"13","Smooth Muscle",17119,2.60758039874549
