,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
177,Global,alveolar macrophage,CL:0000583,male,unknown,13,0.045231550746320584
178,Global,plasma cell,CL:0000786,male,unknown,3,0.010438050172227828
179,Global,memory B cell,CL:0000787,male,unknown,34,0.11829790195191539
180,Global,naive B cell,CL:0000788,male,unknown,1,0.003479350057409276
181,Global,alpha-beta T cell,CL:0000789,male,unknown,320,1.1133920183709682
182,Global,gamma-delta T cell,CL:0000798,male,unknown,2337,8.131241084165477
183,Global,regulatory T cell,CL:0000815,male,unknown,7,0.02435545040186493
184,Global,classical monocyte,CL:0000860,male,unknown,17,0.059148950975957695
185,Global,non-classical monocyte,CL:0000875,male,unknown,6,0.020876100344455657
186,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,male,unknown,3,0.010438050172227828
187,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,male,unknown,2,0.006958700114818552
188,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,male,unknown,3,0.010438050172227828
189,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,5509,19.1677394662677
190,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,male,unknown,8,0.02783480045927421
191,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,male,unknown,1,0.003479350057409276
192,Global,mucosal invariant T cell,CL:0000940,male,unknown,4,0.013917400229637104
193,Global,conventional dendritic cell,CL:0000990,male,unknown,4,0.013917400229637104
194,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,male,unknown,27,0.09394245155005045
195,Global,group 3 innate lymphoid cell,CL:0001071,male,unknown,9,0.03131415051668348
196,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,male,unknown,17,0.059148950975957695
197,Global,T follicular helper cell,CL:0002038,male,unknown,7,0.02435545040186493
