"","cell_type","count","percentage"
"1","Adventitial Fibroblast",557,0.848283634369955
"2","Airway Smooth Muscle",693,1.05540495263623
"3","Alveolar Epithelial Type 1",972,1.48030824525601
"4","Alveolar Epithelial Type 2",3814,5.80853461667327
"5","Alveolar Fibroblast",1296,1.97374432700801
"6","Artery",1484,2.26005909049374
"7","B",725,1.10413938046359
"8","Basal",436,0.664006579147757
"9","Basophil/Mast 1",1350,2.05598367396668
"10","Basophil/Mast 2",552,0.840668880021931
"11","Bronchial Vessel 1",455,0.692942645670251
"12","Bronchial Vessel 2",235,0.357893454357162
"13","Capillary",7391,11.2561298772502
"14","Capillary Aerocyte",4352,6.62788218452073
"15","Capillary Intermediate 1",628,0.956413146111907
"16","Capillary Intermediate 2",464,0.706649203496695
"17","CD4+ Memory/Effector T",3013,4.5886509701197
"18","CD4+ Naive T",932,1.41939021047181
"19","CD8+ Memory/Effector T",1190,1.81231153482989
"20","CD8+ Naive T",2042,3.1098656757333
"21","Ciliated",1321,2.01181809874813
"22","Classical Monocyte",2077,3.16316895616947
"23","Club",931,1.41786725960221
"24","Differentiating Basal",265,0.403581980445311
"25","EREG+ Dendritic",142,0.216259023483902
"26","Fibromyocyte",98,0.149249185221285
"27","Goblet",159,0.242149188267186
"28","IGSF21+ Dendritic",280,0.426426243489385
"29","Intermediate Monocyte",188,0.28631476348573
"30","Ionocyte",22,0.0335049191313088
"31","Lipofibroblast",35,0.0533032804361731
"32","Lymphatic",467,0.71121805610551
"33","Macrophage",14734,22.4391581127593
"34","Mesothelial",29,0.0441655752185434
"35","Mucous",491,0.747768876976029
"36","Myeloid Dendritic Type 1",131,0.199506563918248
"37","Myeloid Dendritic Type 2",266,0.405104931314916
"38","Myofibroblast",248,0.377691815662027
"39","Natural Killer",4769,7.26295269714599
"40","Natural Killer T",335,0.510188541317657
"41","Neuroendocrine",11,0.0167524595656544
"42","Nonclassical Monocyte",804,1.22445249916238
"43","OLR1+ Classical Monocyte",207,0.315250830008224
"44","Pericyte",1608,2.44890499832475
"45","Plasma",187,0.284791812616125
"46","Plasmacytoid Dendritic",137,0.208644269135878
"47","Platelet/Megakaryocyte",40,0.0609180347841979
"48","Proliferating Basal",47,0.0715786908714325
"49","Proliferating Macrophage",226,0.344186896530718
"50","Proliferating NK/T",105,0.159909841308519
"51","Proximal Basal",157,0.239103286527977
"52","Proximal Ciliated",88,0.134019676525235
"53","Serous",24,0.0365508208705187
"54","Signaling Alveolar Epithelial Type 2",669,1.01885413176571
"55","TREM2+ Dendritic",159,0.242149188267186
"56","Vascular Smooth Muscle",469,0.71426395784472
"57","Vein",1155,1.75900825439371
