,cell_type,sex,race,count,percentage
0,epithelial cell,male,Hispanic or Latin American,36,1.5012510425354462
1,T cell,male,Hispanic or Latin American,20,0.8340283569641368
2,mast cell,male,Hispanic or Latin American,97,4.045037531276064
3,endothelial cell,male,Hispanic or Latin American,79,3.29441201000834
4,melanocyte,male,Hispanic or Latin American,13,0.542118432026689
5,muscle cell,male,Hispanic or Latin American,13,0.542118432026689
6,macrophage,male,Hispanic or Latin American,87,3.628023352793995
7,Langerhans cell,male,Hispanic or Latin American,2,0.08340283569641367
8,CD4-positive helper T cell,male,Hispanic or Latin American,2,0.08340283569641367
9,stromal cell,male,Hispanic or Latin American,12,0.5004170141784821
10,plasma cell,male,Hispanic or Latin American,1,0.041701417848206836
11,memory B cell,male,Hispanic or Latin American,5,0.2085070892410342
12,mature NK T cell,male,Hispanic or Latin American,10,0.4170141784820684
13,regulatory T cell,male,Hispanic or Latin American,1,0.041701417848206836
14,"CD4-positive, alpha-beta memory T cell",male,Hispanic or Latin American,3,0.12510425354462051
15,"naive thymus-derived CD8-positive, alpha-beta T cell",male,Hispanic or Latin American,4,0.16680567139282734
16,"CD8-positive, alpha-beta memory T cell",male,Hispanic or Latin American,15,0.6255212677231026
17,CD141-positive myeloid dendritic cell,male,Hispanic or Latin American,3,0.12510425354462051
18,CD1c-positive myeloid dendritic cell,male,Hispanic or Latin American,24,1.0008340283569641
19,epithelial cell,male,European,2,0.08340283569641367
20,T cell,male,European,110,4.587155963302752
21,mast cell,male,European,16,0.6672226855713094
22,endothelial cell,male,European,337,14.053377814845705
23,melanocyte,male,European,1,0.041701417848206836
24,muscle cell,male,European,156,6.505421184320268
25,cell of skeletal muscle,male,European,10,0.4170141784820684
26,smooth muscle cell,male,European,9,0.37531276063386154
27,macrophage,male,European,38,1.58465387823186
28,Langerhans cell,male,European,4,0.16680567139282734
29,CD4-positive helper T cell,male,European,15,0.6255212677231026
30,stromal cell,male,European,849,35.40450375312761
31,plasma cell,male,European,6,0.25020850708924103
32,"CD8-positive, alpha-beta cytotoxic T cell",male,European,13,0.542118432026689
33,mature NK T cell,male,European,120,5.004170141784821
34,regulatory T cell,male,European,32,1.3344453711426187
35,"naive thymus-derived CD4-positive, alpha-beta T cell",male,European,25,1.0425354462051708
36,"CD4-positive, alpha-beta memory T cell",male,European,97,4.045037531276064
37,"naive thymus-derived CD8-positive, alpha-beta T cell",male,European,14,0.5838198498748958
38,"CD8-positive, alpha-beta memory T cell",male,European,110,4.587155963302752
39,CD141-positive myeloid dendritic cell,male,European,3,0.12510425354462051
40,CD1c-positive myeloid dendritic cell,male,European,4,0.16680567139282734
