"","cell_type","count","percentage"
"1","B",2698,7.40537424862076
"2","CD4 T",17646,48.4341119314907
"3","CD8 T",5858,16.0788296324761
"4","DC",922,2.53067274174512
"5","Mono",4564,12.5271045480745
"6","NK",2051,5.62951170642
"7","other",1078,2.95885598221393
"8","other T",1616,4.43553920895891
