"cell_type","count","percentage"
"CD8+ T cells","20404","19.807786"
"Vessel endothelial cells","19607","19.034074"
"B cells","29165","28.312785"
"CD4+ T cells","17619","17.104165"
"Proliferating cells","1702","1.652267"
"Macrophages","7668","7.443937"
"Stroma cells/vessel endothelium","2378","2.308514"
"Myeloid cells","2329","2.260946"
"Vessel endothelial cells","2138","2.075527"
