"cell_type","count","percentage"
"R2_Cluster_0","8212","17.532024"
"R2_Cluster_1","6838","14.598634"
"lymphocyte of B lineage","6276","13.398804"
"endothelial cell","6122","13.070026"
"CD4+ T cells","5710","12.190436"
"R2_Cluster_5","4936","10.538002"
"cytotoxic T cell","4445","9.489752"
"proliferating T cell","3078","6.571307"
"R2_Cluster_8","709","1.513664"
"R2_Cluster_9","514","1.097353"
