"","cell_type","count","percentage"
"1","acinar",2824,8.0024936949191
"2","activated_stellate",1420,4.02391680126952
"3","alpha",11135,31.5537419592508
"4","beta",11816,33.4835217773244
"5","cycling",55,0.155855932443538
"6","delta",2064,5.84884808297203
"7","ductal",3304,9.36269092351724
"8","endothelial",740,2.09697072742214
"9","epsilon",50,0.141687211312307
"10","gamma",1190,3.37215562923291
"11","immune",209,0.592252543285443
"12","quiescent_stellate",419,1.18733883079713
"13","schwann",63,0.178525886253507
