,cell_type,sex,race,count,percentage
0,T cell,male,Hispanic or Latin American,3,0.4444444444444444
1,microglial cell,male,Hispanic or Latin American,21,3.111111111111111
2,macrophage,male,Hispanic or Latin American,1,0.14814814814814814
3,eye photoreceptor cell,male,Hispanic or Latin American,325,48.148148148148145
4,dendritic cell,male,Hispanic or Latin American,1,0.14814814814814814
5,monocyte,male,Hispanic or Latin American,3,0.4444444444444444
6,retina horizontal cell,male,Hispanic or Latin American,3,0.4444444444444444
7,retinal bipolar neuron,male,Hispanic or Latin American,16,2.3703703703703702
8,erythroid lineage cell,male,Hispanic or Latin American,5,0.7407407407407408
9,Muller cell,male,Hispanic or Latin American,297,44.0
