,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",151,6.307435,young / non,m,non,48,1232.438,General Electric RTI_Liz McDonough_undefined
1,T-Killer,106,4.427736,young / non,m,non,48,,General Electric RTI_Liz McDonough_undefined
2,T-reg,353,14.745196,young / non,m,non,48,,General Electric RTI_Liz McDonough_undefined
3,T-helper,1784,74.519632,young / non,m,non,48,,General Electric RTI_Liz McDonough_undefined
