,cell_type,count,percentage,cat,sex,exp,age,y_pos,dataset_name
0,"CD68 
/ Macrophage",57,5.080213,old / sun,m,sun,57,1343.127,General Electric RTI_Liz McDonough_undefined
1,T-Killer,15,1.336898,old / sun,m,sun,57,,General Electric RTI_Liz McDonough_undefined
2,T-reg,57,5.080213,old / sun,m,sun,57,,General Electric RTI_Liz McDonough_undefined
3,T-helper,993,88.502673,old / sun,m,sun,57,,General Electric RTI_Liz McDonough_undefined
